,Predictions
2022-02-04,553.9713760095559
2022-02-05,379.24978570877096
2022-02-06,361.3119578643114
2022-02-07,282.40620018156716
2022-02-08,261.1106333965005
2022-02-09,434.1284009286681
2022-02-10,265.0824693970566
2022-02-11,517.9536064762244
2022-02-12,315.6980691128691
2022-02-13,348.7721725776095
2022-02-14,520.2608853368359
2022-02-15,321.34475264033324
2022-02-16,489.87860009619374
2022-02-17,298.20136405466735
2022-02-18,510.7193109163353
2022-02-19,503.1133115122046
2022-02-20,288.7263136059558
2022-02-21,549.4904858152801
2022-02-22,337.49758105079934
2022-02-23,270.2161372498336
2022-02-24,338.5724955263324
2022-02-25,294.2049603389041
2022-02-26,462.413385827997
2022-02-27,369.0424722443504
2022-02-28,290.21113386556686
2022-03-01,502.95015313854657
2022-03-02,498.44456132669814
2022-03-03,297.0068608012966
2022-03-04,351.2828483667577
2022-03-05,363.6167203033723
2022-03-06,280.92094219773327
2022-03-07,542.8342259871954
2022-03-08,316.88713673633384
2022-03-09,540.8154336347664
2022-03-10,303.79664093400015
2022-03-11,520.0582654549676
2022-03-12,339.6166263392021
2022-03-13,381.28551172768243
2022-03-14,515.8304434810965
2022-03-15,628.4503163459975
2022-03-16,482.24322232649905
2022-03-17,297.9455198780005
2022-03-18,305.6977640300004
2022-03-19,264.88771102629926
2022-03-20,515.9647206570578
2022-03-21,297.1540402275296
2022-03-22,294.3164387816204
2022-03-23,384.1076157843326
2022-03-24,359.6735912068963
2022-03-25,418.47030435400006
2022-03-26,365.8593811506347
2022-03-27,608.0785332880025
2022-03-28,480.62820510982874
2022-03-29,512.6472984946685
2022-03-30,364.5925733361814
2022-03-31,419.0653842180009
2022-04-01,375.2764132151713
2022-04-02,360.28349379371525
2022-04-03,370.55831937833824
2022-04-04,361.0713409025383
2022-04-05,294.90635352121683
2022-04-06,493.30368374105456
2022-04-07,491.94251831035416
2022-04-08,405.998335184002
2022-04-09,325.1678169714003
2022-04-10,508.27718568194064
2022-04-11,504.3761813619658
2022-04-12,354.9163267813392
